Species	SRA	Percent
Arabidopsis	SRR4015225	72.45
Arabidopsis	ERR1588921	72.45
Arabidopsis	SRR13861749	72.41
Arabidopsis	SRR12687367	72.37
Arabidopsis	SRR3371355	72.36
Arabidopsis	SRR5831044	72.36
Arabidopsis	SRR4015234	72.32
Arabidopsis	SRR9844296	72.30
Arabidopsis	ERR1588787	72.29
Arabidopsis	ERR1588845	72.25
Arabidopsis	SRR1618845	72.17
Arabidopsis	ERR1588895	72.13
Arabidopsis	SRR9936814	72.08
Arabidopsis	ERR1588833	72.00
Arabidopsis	SRR5875104	71.99
Arabidopsis	SRR9936811	71.99
Arabidopsis	ERR1588906	71.98
Arabidopsis	SRR6427375	71.95
Arabidopsis	SRR10541000	71.94
Arabidopsis	SRR6427371	71.92
Arabidopsis	SRR5831024	71.91
Arabidopsis	ERR1588882	71.90
Arabidopsis	ERR1589004	71.89
Arabidopsis	ERR754057	71.88
Arabidopsis	SRR8368644	71.87
Arabidopsis	SRR7637058	71.84
Arabidopsis	SRR16090786	71.82
Arabidopsis	SRR5831039	71.80
Arabidopsis	SRR16569028	71.78
Arabidopsis	SRR9844302	71.76
Arabidopsis	ERR1588999	71.76
Arabidopsis	SRR9844294	71.69
Arabidopsis	SRR9844300	71.68
Arabidopsis	SRR9844301	71.68
Arabidopsis	SRR10541002	71.63
Arabidopsis	SRR9936817	71.60
Arabidopsis	SRR7637054	71.58
Arabidopsis	SRR16569029	71.55
Arabidopsis	SRR9844292	71.53
Arabidopsis	ERR1588907	71.49
Arabidopsis	SRR16569023	71.46
Arabidopsis	SRR9844293	71.43
Arabidopsis	SRR18440398	71.40
Arabidopsis	SRR9844291	71.35
Arabidopsis	SRR5831040	71.35
Arabidopsis	SRR9936818	71.35
Arabidopsis	SRR5831028	71.28
Arabidopsis	SRR7637053	71.27
Arabidopsis	ERR1588903	71.25
Arabidopsis	SRR9936816	71.25
Arabidopsis	SRR10918588	71.22
Arabidopsis	SRR11972812	71.20
Arabidopsis	SRR12380981	71.18
Arabidopsis	SRR9844299	71.17
Arabidopsis	ERR1588944	71.16
Arabidopsis	SRR12380982	71.15
Arabidopsis	SRR9936819	71.14
Arabidopsis	SRR12687369	71.06
Arabidopsis	SRR5831037	71.04
Arabidopsis	SRR20440084	71.02
Arabidopsis	SRR5831042	70.98
Arabidopsis	SRR6427374	70.93
Arabidopsis	SRR5831046	70.84
Arabidopsis	SRR12687380	70.83
Arabidopsis	SRR18440389	70.83
Arabidopsis	SRR5831032	70.80
Arabidopsis	SRR18440394	70.79
Arabidopsis	SRR16569026	70.78
Arabidopsis	ERR1588893	70.74
Arabidopsis	SRR16569027	70.70
Arabidopsis	SRR9936821	70.68
Arabidopsis	SRR9844297	70.64
Arabidopsis	SRR9936813	70.64
Arabidopsis	SRR12380984	70.62
Arabidopsis	SRR12687376	70.61
Arabidopsis	SRR9936812	70.58
Arabidopsis	SRR5831026	70.57
Arabidopsis	SRR10918546	70.54
Arabidopsis	SRR5831045	70.49
Arabidopsis	ERR1588993	70.47
Arabidopsis	SRR18440396	70.45
Arabidopsis	SRR9844298	70.42
Arabidopsis	SRR18440392	70.39
Arabidopsis	SRR18440388	70.38
Arabidopsis	SRR5831027	70.36
